return_id,sku,market,customer_reason,first_visible_location,evidence,owner,corrective_action,status,review_date,supporting_guide
"","","","","supplier_production_line","","","","OPEN","","https://asgdropshipping.com/returns-are-a-fulfillment-problem-not-only-a-customer-service-problem/"
"","","","","pre_shipment_check","","","","OPEN","","https://asgdropshipping.com/returns-are-a-fulfillment-problem-not-only-a-customer-service-problem/"
"","","","","packing_and_labelling","","","","OPEN","","https://asgdropshipping.com/returns-are-a-fulfillment-problem-not-only-a-customer-service-problem/"
"","","","","line_haul_and_carrier","","","","OPEN","","https://asgdropshipping.com/returns-are-a-fulfillment-problem-not-only-a-customer-service-problem/"
"","","","","customer_unboxing","","","","OPEN","","https://asgdropshipping.com/returns-are-a-fulfillment-problem-not-only-a-customer-service-problem/"
"","","","","returns_adjudication","","","","OPEN","","https://asgdropshipping.com/returns-are-a-fulfillment-problem-not-only-a-customer-service-problem/"
"","","","","supplier_production_line","","","","OPEN","","https://asgdropshipping.com/returns-are-a-fulfillment-problem-not-only-a-customer-service-problem/"
"","","","","pre_shipment_check","","","","OPEN","","https://asgdropshipping.com/returns-are-a-fulfillment-problem-not-only-a-customer-service-problem/"
"","","","","packing_and_labelling","","","","OPEN","","https://asgdropshipping.com/returns-are-a-fulfillment-problem-not-only-a-customer-service-problem/"
"","","","","line_haul_and_carrier","","","","OPEN","","https://asgdropshipping.com/returns-are-a-fulfillment-problem-not-only-a-customer-service-problem/"
